id_user,nombre,apellido,dni,fecha_nacimiento,codigo_postal
1,Lucia,Perez,86015354I,1999-04-03,8727
2,Miguel,Fernandez,72480919M,1994-06-09,1054
3,Pedro,Hernandez,64698847Z,2000-04-06,3614
4,Miguel,Santos,11745743M,1988-10-28,4528
5,Luis,Ruiz,11666737J,1963-05-30,1289
6,Maria,Ruiz,83582725C,1990-09-10,8380
7,Maria,Gomez,99018752F,1979-06-05,2729
8,Lucia,Morales,55701712Q,1969-09-27,2271
9,Miguel,Ruiz,83904790O,1988-10-12,6534
10,Juan,Fernandez,71212452G,2002-04-05,3751
11,Laura,Ruiz,66118196G,1980-02-07,4891
12,Miguel,Hernandez,95971190X,1954-02-10,9886
13,Pedro,Vega,75567671H,1997-11-22,4110
14,Maria,Fernandez,04078828R,1996-05-05,9481
15,Maria,Santos,21895827X,1956-09-05,4463
16,Ana,Diaz,02119422J,2003-02-23,3412
17,Ana,Hernandez,91818194K,1981-12-31,3626
18,Carlos,Ruiz,09673069V,1956-08-10,4184
19,Luis,Hernandez,09281211S,1950-12-10,5838
20,Carlos,Vega,80980746Y,1970-06-16,7699
21,Laura,Morales,04354245B,1985-03-16,9531
22,Pedro,Vega,05563292F,1985-07-20,2670
23,Luis,Vega,31922219J,1999-12-25,5501
24,Pedro,Diaz,96184915I,1950-11-05,4569
25,Pedro,Perez,37951525L,1979-01-17,1953
26,Maria,Fernandez,62796392F,1974-08-28,9561
27,Miguel,Vega,54469383X,1990-12-11,5946
28,Maria,Vega,68814221D,1969-09-05,4723
29,Ana,Fernandez,09394856D,2002-02-28,7874
30,Sofia,Hernandez,97984996Y,1993-10-03,3883
31,Lucia,Morales,44747130J,1958-08-01,7624
32,Pedro,Ruiz,27666490Y,1962-07-30,5814
33,Sofia,Ruiz,70337218O,2004-09-18,1163
34,Pedro,Gomez,93245264W,2003-07-06,1150
35,Sofia,Lopez,03383334Z,1977-08-28,4837
36,Pedro,Gomez,44744315D,1983-04-16,6663
37,Sofia,Lopez,26817565J,1978-11-14,8539
38,Pedro,Fernandez,63721474M,1992-01-22,4304
39,Miguel,Morales,54048559X,1962-11-30,2707
40,Juan,Perez,11780120S,1973-12-04,8319
41,Lucia,Lopez,29139784M,1990-03-10,6482
42,Luis,Perez,26318841X,1956-02-19,9016
43,Sofia,Vega,26246627G,2000-07-20,2631
44,Miguel,Diaz,87198188V,1956-02-22,6716
45,Carlos,Fernandez,75940002T,1985-09-11,3141
46,Luis,Hernandez,80085625O,1987-01-24,2467
47,Maria,Diaz,43512849D,1977-06-27,1499
48,Laura,Diaz,04288207Q,1977-11-08,7775
49,Carlos,Santos,63285244T,1969-10-12,8556
50,Carlos,Vega,36483438M,1959-06-05,3020
51,Maria,Santos,57293164V,1954-08-08,8376
52,Maria,Morales,79451810T,1998-08-24,1915
53,Juan,Ruiz,32759606I,1993-10-23,7317
54,Ana,Perez,24324543S,1999-03-29,6533
55,Miguel,Vega,98168505M,1988-01-11,5242
56,Pedro,Ruiz,77511130Q,1977-09-27,1309
57,Carlos,Vega,80883501I,1983-08-18,4496
58,Laura,Morales,78953655S,1958-09-08,1437
59,Ana,Fernandez,53029306I,1951-06-01,6022
60,Pedro,Santos,58384339K,1970-09-25,9543
61,Sofia,Lopez,44799014U,1964-03-29,8036
62,Lucia,Gomez,49272176F,1959-01-22,1148
63,Carlos,Hernandez,42571427Z,1983-10-06,4472
64,Carlos,Diaz,63310468N,1996-01-08,9800
65,Juan,Perez,85058020T,1995-02-05,3869
66,Laura,Morales,87556964O,1960-05-23,5536
67,Juan,Fernandez,77154210H,1955-05-24,3800
68,Miguel,Diaz,50183861E,1974-07-17,8765
69,Maria,Fernandez,80604563A,1988-06-20,8416
70,Pedro,Gomez,76259407E,1965-05-16,4729
71,Sofia,Santos,27825397Z,2004-06-09,8345
72,Lucia,Gomez,27713808W,1992-05-28,3721
73,Sofia,Gomez,55578188N,1997-06-12,6597
74,Maria,Diaz,36217808Q,1956-01-24,7263
75,Pedro,Morales,53978469Y,1962-12-12,7242
76,Ana,Diaz,05401604V,1962-12-19,5346
77,Lucia,Lopez,89937560R,1976-02-07,8318
78,Maria,Ruiz,46244602O,1957-08-07,1322
79,Maria,Gomez,66409901I,1991-02-10,4829
80,Luis,Vega,88810684W,1978-10-09,7367
81,Carlos,Hernandez,47766612R,1959-09-09,4360
82,Juan,Perez,01715592S,2004-08-09,6727
83,Maria,Hernandez,20107737C,1999-11-20,3835
84,Luis,Lopez,39964076D,1970-04-23,3208
85,Juan,Santos,93738722S,1982-09-19,5690
86,Carlos,Gomez,65815237T,1977-09-30,3087
87,Laura,Diaz,36345204Q,1979-07-24,2998
88,Ana,Morales,83866304X,1961-08-01,6366
89,Pedro,Fernandez,14369252M,1995-04-18,5384
90,Sofia,Santos,48211689U,1955-11-27,1453
91,Sofia,Santos,91398576B,1987-05-24,3782
92,Ana,Lopez,30294142F,1980-08-02,1438
93,Maria,Morales,03187411Y,1951-06-25,5307
94,Luis,Perez,53600854C,1967-10-29,2607
95,Juan,Santos,30434114X,1953-01-27,3696
96,Sofia,Fernandez,21952739D,1984-08-21,8042
97,Pedro,Gomez,79616140B,2000-07-09,5340
98,Luis,Morales,75916642H,2002-11-21,9081
99,Lucia,Gomez,83088572A,1986-09-24,1514
100,Carlos,Ruiz,30296018L,1978-01-12,8644
101,Lucia,Perez,50578164S,1957-03-05,3428
102,Juan,Lopez,34766318H,1981-04-10,8370
103,Miguel,Diaz,31057154I,1957-11-30,1424
104,Juan,Fernandez,39612415W,1969-12-15,6557
105,Carlos,Perez,18919669L,1999-04-08,4088
106,Miguel,Fernandez,52885575L,1987-02-15,8434
107,Miguel,Fernandez,71140192E,1963-11-17,2937
108,Sofia,Hernandez,91517989Q,1979-12-22,5014
109,Maria,Vega,81834869R,1973-01-27,8865
110,Carlos,Fernandez,70476737D,1986-12-31,4776
111,Pedro,Diaz,51562613Y,1981-05-01,5995
112,Ana,Vega,98345530Z,1963-05-17,1389
113,Lucia,Morales,63202540P,2002-08-11,6181
114,Luis,Vega,43803856K,1977-01-31,2570
115,Maria,Diaz,36803813O,1988-09-09,6567
116,Laura,Gomez,31115517H,1976-11-20,3474
